100559ms
t Pt t 总场 目标 海面 耦合 
5.15625 -8.0370181e-89 178.77613 -9.4050995 -9.4050995 0 0
5.1875 7.2131676e-91 178.80738 -37.24351 -37.24351 0 0
5.21875 1.1547761e-91 178.83863 6.8997626 6.8997626 0 0
5.25 -1.0639775e-93 178.86988 12.739671 12.739671 0 0
5.28125 -1.5032205e-94 178.90113 -3.4393182 -3.4393182 0 0
5.3125 1.4128608e-96 178.93238 -3.8733788 -3.8733788 0 0
5.34375 1.7728756e-97 178.96363 1.377987 1.377987 0 0
5.375 -1.6906279e-99 178.99488 1.0442654 1.0442654 0 0
5.40625 -1.8944044e-100 179.02613 -0.46786758 -0.46786758 0 0
5.4375 1.8243771e-102 179.05738 -0.24860592 -0.24860592 0 0
5.46875 1.8340604e-103 179.08863 0.13783221 0.13783221 0 0
5.5 -1.7765271e-105 179.11988 0.05189424 0.05189424 0 0
5.53125 -1.6088234e-106 179.15113 -0.035676668 -0.035676668 0 0
5.5625 1.5618671e-108 179.18238 -0.0093803837 -0.0093803837 0 0
5.59375 1.2786859e-109 179.21363 0.0081744893 0.0081744893 0 0
5.625 -1.2402757e-111 179.24488 0.0014333538 0.0014333538 0 0
5.65625 -9.2084527e-113 179.27613 -0.0016658666 -0.0016658666 0 0
5.6875 8.899214e-115 179.30738 -0.00017517743 -0.00017517743 0 0
5.71875 6.0087342e-116 179.33863 0.00030289755 0.00030289755 0 0
5.75 -5.7713591e-118 179.36988 1.4270615e-05 1.4270615e-05 0 0
5.78125 -3.5527022e-119 179.40113 -4.9245324e-05 -4.9245324e-05 0 0
5.8125 3.3838595e-121 179.43238 1.0907279e-07 1.0907279e-07 0 0
5.84375 1.9033548e-122 179.46363 7.1695359e-06 7.1695359e-06 0 0
5.875 -1.7941283e-124 179.49488 -3.2410847e-07 -3.2410847e-07 0 0
5.90625 -9.2399837e-126 179.52613 -9.3562848e-07 -9.3562848e-07 0 0
5.9375 8.603754e-128 179.55738 7.8224225e-08 7.8224225e-08 0 0
5.96875 4.0646047e-129 179.58863 1.0951288e-07 1.0951288e-07 0 0
6 -3.7324279e-131 179.61988 -1.3007416e-08 -1.3007416e-08 0 0
6.03125 -1.6201901e-132 179.65113 -1.1500018e-08 -1.1500018e-08 0 0
